UniProt	DeePhase
P42772	0.133
Q8WUH1	0.133
Q14964	0.133
Q11206	0.133
A0A0A0MS02	0.133
Q8N4V1	0.133
P49590	0.133
Q9BQ50	0.133
Q6ZQY7	0.133
Q8IUE6	0.133
Q9HBK9	0.133
A0A0A0MS15	0.133
Q14894	0.133
Q96FX2	0.133
Q5K131	0.133
P0DJR0	0.133
P12544	0.133
Q5XKP0	0.133
Q9BRQ4	0.133
P16422	0.133
Q8IZN7	0.133
A0A1W2PQC6	0.133
A0PJX0	0.133
Q9Y2B2	0.134
Q86WS3	0.134
Q9BUL8	0.134
P61081	0.134
P10997	0.134
Q86XP6	0.134
Q9NXU5	0.134
O95571	0.134
Q9Y3A6	0.134
P01579	0.134
Q9P021	0.134
Q5W0N0	0.134
O60704	0.134
Q9H4E5	0.134
Q8NEX5	0.134
Q9NTM9	0.134
P53803	0.134
Q16558	0.134
P07738	0.134
A0A1W2PQD8	0.134
Q99574	0.134
Q6WQI6	0.134
P0C7L1	0.134
A0A075B7D0	0.134
Q53FA7	0.134
P02753	0.134
Q9BSB4	0.134
O14683	0.134
Q96B49	0.134
Q9H4G4	0.134
Q5JSQ8	0.134
O14625	0.134
P30040	0.135
P17152	0.135
O14657	0.135
Q9Y619	0.135
Q8N6C7	0.135
Q9NPE3	0.135
F5H284	0.135
O95749	0.135
Q7Z713	0.135
Q8IY45	0.135
A4D1S5	0.135
Q9Y3D5	0.135
P78560	0.135
P04155	0.135
Q15024	0.135
A0A0B4J2B8	0.135
P59665	0.135
Q30154	0.135
Q6NZ63	0.135
Q8TB92	0.135
Q0P641	0.135
P49895	0.135
Q9Y3D3	0.135
Q93077	0.135
Q9NPD3	0.135
P51575	0.135
Q9H6K4	0.135
Q9NX20	0.135
Q96A08	0.135
P51671	0.135
Q96CN7	0.135
A0A0B4J1V2	0.135
Q6PK57	0.135
P62253	0.135
Q9BVJ7	0.136
Q9Y394	0.136
P20155	0.136
Q96G30	0.136
Q9NYL4	0.136
A0A8I5KXM2	0.136
Q8TED1	0.136
Q8NHY5	0.136
A0A0U1RRN3	0.136
O15172	0.136
P09104	0.136
P28325	0.136
Q15041	0.136
P01282	0.136
Q9UBX3	0.136
Q8IYD2	0.136
A0A1B0GX49	0.136
Q9BTM1	0.136
A8MTL9	0.136
A8MXK1	0.136
P0C7P0	0.136
Q6IPR1	0.136
O14603	0.136
O75192	0.136
O95563	0.136
O75556	0.136
Q9Y2X8	0.136
A0A0J9YXX1	0.136
P53384	0.136
Q92600	0.136
G3V211	0.136
Q7Z3B0	0.136
Q9BT23	0.137
Q6ZS62	0.137
O94905	0.137
P82912	0.137
P01920	0.137
A0A1B0GVD1	0.137
P32320	0.137
O00442	0.137
A0A1W2PR75	0.137
O75711	0.137
Q7Z624	0.137
Q99471	0.137
A8MXU0	0.137
A0A075B6N1	0.137
P50613	0.137
Q8NEA4	0.137
A0A0B4J274	0.137
Q8TDX5	0.137
P0DN26	0.137
Q9HB66	0.137
Q9BSY4	0.137
A0A075B759	0.137
Q5JSS6	0.137
P61006	0.137
Q13268	0.138
B9A014	0.138
A0A087WSZ9	0.138
Q8WWF8	0.138
A0A1B0GXF2	0.138
A0A0B4J268	0.138
A0A1B0GWG4	0.138
Q9UFF9	0.138
P55273	0.138
Q9BYZ2	0.138
Q9BY49	0.138
P63211	0.138
P37058	0.138
Q9H8Q6	0.138
Q8IYP2	0.138
O43676	0.138
Q9P0T7	0.138
Q71UM5	0.138
Q96GG9	0.138
Q9Y2Q9	0.138
Q53G44	0.139
Q9NZJ6	0.139
Q8WUE5	0.139
P12236	0.139
P0DTE2	0.139
O96007	0.139
P20645	0.139
Q9Y5U9	0.139
Q9H999	0.139
Q99623	0.139
Q8WVP5	0.139
P61353	0.139
Q92506	0.139
Q9NS18	0.139
Q8TF08	0.139
A2RRL7	0.139
O60256	0.139
Q9Y5U8	0.139
P45877	0.14
Q15080	0.14
Q5J8M3	0.14
Q9UHQ9	0.14
Q53RE8	0.14
P10147	0.14
Q5VT79	0.14
Q8N511	0.14
P60510	0.14
P62837	0.14
P59666	0.14
Q6P1Q0	0.14
A0A075B7F1	0.14
P62070	0.14
Q13113	0.14
O75695	0.14
P10720	0.14
Q9NSY2	0.14
P0C7U1	0.14
Q13889	0.14
O43808	0.14
P40617	0.14
Q7Z444	0.14
O95452	0.14
Q6ZS82	0.141
Q6PKH6	0.141
Q9UQ10	0.141
O43704	0.141
Q96DG6	0.141
P25800	0.141
Q9BWH2	0.141
Q5T6V5	0.141
P26440	0.141
Q8N4Z0	0.141
P15121	0.141
Q9BXU8	0.141
A6NFZ4	0.141
O60783	0.141
A0A0K0K1G6	0.141
Q00765	0.141
P14174	0.141
Q01523	0.141
Q8N3Y7	0.141
A8MSI8	0.141
Q9P0S3	0.141
P49411	0.141
Q96E11	0.142
Q9NPJ3	0.142
A0A0B4J240	0.142
Q969Q5	0.142
Q9P2T1	0.142
O75356	0.142
P56851	0.142
Q9H112	0.142
O95147	0.142
P02655	0.142
P0DPF4	0.142
Q9UHP6	0.143
O95620	0.143
Q53FV1	0.143
O14933	0.143
Q5VVY1	0.143
P13928	0.143
A0A1B0GVN3	0.143
Q96HP4	0.143
P01903	0.143
Q96I36	0.143
P09972	0.143
P01817	0.143
P0DKX4	0.143
A0A0C4DH39	0.143
Q86VU5	0.143
P08758	0.143
P51668	0.143
A0A1B0GX68	0.143
P30086	0.143
Q86WA6	0.143
Q8N140	0.144
Q9NP99	0.144
P01614	0.144
P30049	0.144
O14929	0.144
Q075Z2	0.144
Q9NRR3	0.144
O14977	0.144
Q9H765	0.144
Q99445	0.144
O00217	0.144
Q9H190	0.144
P59780	0.144
A0A087WW87	0.144
Q96C23	0.144
Q02045	0.144
A0A0B4J276	0.144
A0A0C4DH38	0.144
A0A1B0GX51	0.144
Q06520	0.144
Q9BUY7	0.144
A0A1W2PQ27	0.144
P59910	0.144
Q8N1E2	0.144
A0A024RCN7	0.144
Q13445	0.144
P40937	0.145
Q9BSH3	0.145
A0A075B6T7	0.145
P78346	0.145
P49903	0.145
K7EIQ3	0.145
Q96QA6	0.145
Q8TAA5	0.145
Q8IZJ0	0.145
P28074	0.145
Q9NZE8	0.145
Q9Y3C8	0.145
Q9NQT5	0.145
Q9NX47	0.145
Q5H8A3	0.145
Q8N8N7	0.145
Q9H082	0.145
Q9GZT4	0.145
P15954	0.145
P28072	0.145
A0A075B6H5	0.145
P32971	0.145
Q96LU5	0.145
A0A0B4J277	0.145
P16035	0.145
P05162	0.145
Q8NE22	0.146
P56373	0.146
P45954	0.146
Q6UW88	0.146
A6NHX0	0.146
A0A087WTH1	0.146
Q96DR4	0.146
P03979	0.146
P08118	0.146
P11766	0.146
Q8N4Q0	0.146
O43402	0.146
Q86TL2	0.146
A0A1B0GUA5	0.146
P15559	0.146
Q8IYV9	0.146
A6NNB3	0.146
A0A8V8TMC4	0.146
P12838	0.146
O00244	0.146
Q96PG1	0.146
O00299	0.146
O95848	0.146
Q9NRW4	0.146
O14756	0.146
A0A0B4J2D5	0.146
P00709	0.146
P61421	0.146
P22234	0.146
Q14691	0.146
Q9GZS3	0.146
Q9BSF0	0.146
Q9P1U0	0.146
Q9UKY0	0.146
Q8NFH4	0.147
Q8WUY1	0.147
Q8N138	0.147
P55809	0.147
O60688	0.147
Q9UBI6	0.147
Q96PD6	0.147
Q3SY17	0.147
O14610	0.147
Q9NQE9	0.147
Q14982	0.147
Q9H553	0.147
Q9UNG2	0.147
Q14802	0.147
O95837	0.147
A0A087WT01	0.148
P50151	0.148
Q93096	0.148
P11177	0.148
P01574	0.148
P80188	0.148
Q8MH63	0.148
Q68CQ7	0.148
Q5SGD2	0.148
Q7RTV5	0.148
O14732	0.148
Q8WX39	0.148
Q19AV6	0.148
P24522	0.148
A0A5F9ZH02	0.148
Q9GZX7	0.148
Q00796	0.148
O15239	0.148
Q9H1U9	0.148
Q9H903	0.148
P16619	0.148
P55263	0.148
C9J6K1	0.148
P46597	0.148
Q16655	0.148
A0A075B7B8	0.148
Q9HD47	0.148
Q96CW1	0.148
P43308	0.148
A0A1W2PRG0	0.148
P43080	0.148
Q9H0I9	0.149
P29033	0.149
P30050	0.149
A0A0B4J1U4	0.149
A6NGZ8	0.149
Q8IZ96	0.149
P02585	0.149
P39210	0.149
Q8WWF6	0.149
A0A0C4DH36	0.149
Q9BWV2	0.149
Q9UHQ4	0.149
A0A2R8Y7D0	0.149
Q9NVX0	0.149
Q5SRD1	0.149
P20132	0.149
A6NG13	0.149
A8MVJ9	0.149
P01011	0.15
A0A1B0GX31	0.15
Q6UXR4	0.15
Q15717	0.15
Q6L9T8	0.15
Q96S79	0.15
P61163	0.15
P13716	0.15
O14796	0.15
Q8TCT1	0.15
Q8N0T1	0.15
Q9NUQ2	0.15
A2RU49	0.15
O75792	0.15
P54922	0.15
Q5VU69	0.15
Q9NPB1	0.15
Q1W4C9	0.15
Q9BQ24	0.15
Q9UJC5	0.15
Q3SXM5	0.15
Q502X0	0.15
Q8NHW5	0.15
Q9Y535	0.15
Q16663	0.15
O75951	0.15
P30085	0.151
P0C7V9	0.151
Q96QH8	0.151
Q9NW61	0.151
P50395	0.151
P0C7M3	0.151
Q9NYY1	0.151
P22749	0.151
P07360	0.151
Q13794	0.151
P21283	0.151
P48201	0.151
P05161	0.151
O95399	0.151
O00746	0.151
Q9P1J3	0.151
Q9UHY7	0.151
P33764	0.151
Q9UNM6	0.151
Q9UBC7	0.151
A2RUC4	0.151
P83876	0.151
O60493	0.151
Q96T91	0.151
Q8IZS7	0.151
H3BR10	0.151
Q96I99	0.151
P14060	0.151
H0Y354	0.151
P57730	0.151
P51648	0.151
P49207	0.152
Q6UXV1	0.152
P00491	0.152
A0A0B4J1X8	0.152
Q495D7	0.152
O95178	0.152
A0A0B4J244	0.152
Q9GIP4	0.152
Q17R31	0.152
Q969H6	0.152
P0DML3	0.152
P07355	0.152
Q5VZY2	0.152
Q15286	0.152
A4QN01	0.152
E9PQX1	0.152
Q01995	0.152
Q5JVF3	0.152
Q99873	0.152
O43320	0.152
P09622	0.152
Q96I23	0.152
Q8WXA2	0.152
Q9NWU5	0.152
P13686	0.152
P23946	0.152
P30520	0.152
P53007	0.153
Q9Y6E7	0.153
P45880	0.153
P00995	0.153
P55056	0.153
Q2M238	0.153
A0A0B4J1X5	0.153
O95843	0.153
Q9H4B0	0.153
Q15006	0.153
Q15493	0.153
P68133	0.153
A6NK58	0.153
O75752	0.153
Q9BVM2	0.153
Q86SG7	0.153
Q96LM1	0.153
Q9UDW1	0.153
A0A499FJF3	0.153
Q9Y6C9	0.153
Q8N9A8	0.153
O95258	0.153
P31937	0.153
O95295	0.153
Q5BJF2	0.153
Q9H8S9	0.153
Q96A05	0.153
P01298	0.154
Q9H1K1	0.154
O43598	0.154
Q8WXF3	0.154
Q49B96	0.154
P49459	0.154
Q2QL34	0.154
P05388	0.154
Q9BV20	0.154
P07315	0.154
Q6ZT89	0.154
P01588	0.154
P62487	0.154
Q8N5W8	0.154
Q0VAF6	0.154
P62877	0.154
P49770	0.154
Q969X5	0.154
Q6UXH0	0.154
P17987	0.154
P49863	0.154
Q9BTV4	0.154
P98066	0.154
Q9NWY4	0.154
O75716	0.154
O43504	0.154
P09326	0.154
Q6P1S2	0.154
Q9Y312	0.154
O15492	0.154
Q8WWC4	0.154
Q9H0T7	0.154
O95833	0.154
A0A0K0K1D8	0.154
P61236	0.154
Q9P2X0	0.154
Q2VIR3	0.155
A6NFH5	0.155
O00453	0.155
O75431	0.155
P27216	0.155
P63244	0.155
P0DPI2	0.155
Q9UMY4	0.155
Q9Y328	0.155
Q7L5L3	0.155
Q9Y343	0.155
Q8WXH4	0.155
Q8IYX1	0.155
Q4LDR2	0.155
Q7Z4R8	0.155
P05015	0.155
Q8IZJ6	0.155
Q53EU6	0.155
P30048	0.155
A0A1B0GX95	0.155
P10746	0.155
Q9Y224	0.155
Q86TA1	0.155
P0CF51	0.155
Q7Z2W9	0.155
Q14576	0.155
Q96MH6	0.156
Q9H115	0.156
P01034	0.156
Q96DC8	0.156
O60921	0.156
Q92882	0.156
Q13303	0.156
P13236	0.156
P01743	0.156
P55851	0.156
Q8WTR2	0.156
Q16627	0.156
P02776	0.156
Q7L9L4	0.156
P68036	0.156
Q6YN16	0.156
P02818	0.156
Q96QV6	0.156
Q8N4H5	0.156
Q9H0A3	0.156
Q8TCD6	0.156
Q8WVY7	0.156
O60513	0.156
P0C5Y9	0.156
O00626	0.156
A0A0A0MS04	0.156
A6NKX1	0.156
Q6P9G0	0.156
Q9H4G1	0.156
P16442	0.156
Q63HM9	0.157
O43529	0.157
Q9Y586	0.157
O15258	0.157
P62269	0.157
P10767	0.157
P11310	0.157
P16520	0.157
Q8NEX6	0.157
P42330	0.157
Q9NWW6	0.157
Q9NR45	0.157
P62829	0.157
Q8N3H0	0.157
A0A075B6R0	0.157
Q147U7	0.157
Q86V86	0.157
Q8WY98	0.157
Q9Y3C7	0.157
P42765	0.158
Q86X83	0.158
Q9UBQ5	0.158
P80098	0.158
A0A0B4J264	0.158
Q8NDY3	0.158
P01780	0.158
Q8NBN7	0.158
Q02223	0.158
P0DP73	0.158
Q00534	0.158
P63146	0.158
A0A075B6K2	0.158
Q96KC2	0.158
O75344	0.158
O60507	0.158
Q9Y5Y2	0.158
P41091	0.158
O14975	0.158
O95183	0.158
P0DP74	0.158
Q16762	0.158
O14818	0.158
A6NMY6	0.158
Q96GD0	0.158
Q9P035	0.158
Q9UHD4	0.158
Q9UBI1	0.158
Q96EU7	0.158
Q96F25	0.158
P28328	0.158
O14944	0.158
Q9HC21	0.158
P05538	0.158
Q4VXA5	0.158
Q9H6L4	0.159
Q53H64	0.159
Q6UXQ4	0.159
P00738	0.159
P05062	0.159
Q9NTX5	0.159
A0A075B6K5	0.159
P30740	0.159
P41217	0.159
P24387	0.159
Q70IA8	0.159
O43813	0.159
Q68J44	0.159
P31944	0.159
Q96T75	0.159
Q9UKR5	0.159
P12268	0.159
Q6NVV1	0.159
Q17RA5	0.159
P04179	0.159
Q9NZC3	0.159
P06315	0.159
A8K4G0	0.159
P01215	0.159
Q96C11	0.16
P0DP01	0.16
Q8N2K1	0.16
Q9Y6N3	0.16
Q92572	0.16
Q99836	0.16
Q6N063	0.16
Q9Y5K1	0.16
Q86TZ1	0.16
Q8IWF7	0.16
Q5J5C9	0.16
A0A0C4DH68	0.16
O14880	0.16
Q9Y584	0.16
Q2M2D7	0.16
P35219	0.16
P58294	0.16
Q01628	0.16
O75340	0.16
Q16517	0.16
A0A075B6T8	0.16
P42771	0.16
Q8NG35	0.16
Q9BZK8	0.16
Q30KR1	0.16
Q6KCM7	0.16
A0A075B6N2	0.16
Q8WU39	0.16
Q13630	0.161
Q6P2C8	0.161
P00325	0.161
Q8NHR7	0.161
A0JD32	0.161
P55916	0.161
Q86TX2	0.161
P01009	0.161
P48048	0.161
Q9BTE0	0.161
P62873	0.161
Q8N165	0.161
Q96PB8	0.161
P0C5Z0	0.161
Q9BX51	0.161
Q96E22	0.161
Q6UVW9	0.161
Q9BRQ8	0.161
S4R3C0	0.161
P09525	0.161
P10109	0.161
A2RU48	0.161
Q9Y5B8	0.161
A0A0U1RRA0	0.161
P31153	0.161
P22352	0.161
Q86UD1	0.161
Q9HB90	0.161
P68032	0.161
Q96KJ9	0.161
P10082	0.162
Q30KQ8	0.162
P11912	0.162
Q9Y2T3	0.162
A4D1E9	0.162
Q9NSD9	0.162
P30153	0.162
Q92187	0.162
Q6P4H8	0.162
Q9BSY9	0.162
A0JD37	0.162
Q96A35	0.162
C9JQL5	0.162
Q8TBZ9	0.162
A0A075B6P5	0.162
Q16653	0.162
O43914	0.162
P0DP04	0.162
P24462	0.162
P57729	0.162
Q9BVM4	0.162
Q2QD12	0.162
P0C0E4	0.162
A0A0B4J2E0	0.162
A1L188	0.162
P61024	0.162
P01615	0.162
P04437	0.162
Q02535	0.162
A0A087WZ39	0.162
P61916	0.162
Q96AQ7	0.163
Q96D21	0.163
Q96IU4	0.163
P55000	0.163
Q99720	0.163
P27635	0.163
P01236	0.163
M5A8F1	0.163
Q9BS92	0.163
Q719H9	0.163
P01569	0.163
P30279	0.163
Q9UBQ6	0.163
Q9UBD9	0.163
P40394	0.163
Q8WVI0	0.163
A0A075B6Q5	0.163
A0A0C4DH27	0.163
Q9P121	0.163
Q9NRG7	0.163
A8MVZ5	0.164
Q9NV35	0.164
P35268	0.164
O00743	0.164
P18283	0.164
A0A1W2PQ64	0.164
Q75NE6	0.164
P35270	0.164
P04435	0.164
Q9UGB7	0.164
P01241	0.164
P36959	0.164
Q6GPI1	0.164
Q9Y2Y0	0.164
Q96CB5	0.164
P04808	0.164
Q8WTQ1	0.164
A0A0A0MS06	0.164
Q9UNL2	0.164
Q96L21	0.164
Q92813	0.165
O60756	0.165
P00326	0.165
Q96AB3	0.165
P04181	0.165
Q9BU61	0.165
P63316	0.165
Q9HBH0	0.165
P32321	0.165
Q9UHW5	0.165
Q8IZ57	0.165
P01563	0.165
Q7Z7B7	0.165
Q9BU89	0.165
Q9H1K4	0.165
P10176	0.165
P56937	0.165
Q8TCE9	0.165
Q9NYZ1	0.165
Q14641	0.165
Q9UI09	0.165
O43908	0.165
O15382	0.165
P05093	0.165
Q9BWJ5	0.165
Q9H7X0	0.165
O14950	0.165
Q9NRR1	0.165
Q9NYR9	0.165
Q9BWD1	0.165
Q8WVF2	0.165
O43745	0.165
Q8IW40	0.166
Q7Z5M8	0.166
P26022	0.166
A6NIE6	0.166
A0A8V8TLY5	0.166
Q1A5X7	0.166
P78508	0.166
P0DML2	0.166
P31947	0.166
O43837	0.166
P12081	0.166
Q5JS37	0.166
Q8TB37	0.166
A0A075B7F0	0.166
A0A075B6U4	0.166
Q5QFB9	0.166
A4D1N5	0.166
P19957	0.166
Q30KP9	0.166
Q99943	0.166
P07320	0.166
Q9NQ33	0.166
Q9NZC2	0.166
O75884	0.166
A8MZH6	0.166
P59861	0.166
Q8N5M9	0.167
Q92963	0.167
Q15526	0.167
Q9Y295	0.167
Q96L15	0.167
P14854	0.167
Q8IUZ5	0.167
A0A087WT02	0.167
P17538	0.167
Q9BWM7	0.167
Q06203	0.167
Q7L2H7	0.167
A0A0K0K1E9	0.167
Q86VD7	0.167
Q9NPJ8	0.167
P78371	0.167
P07093	0.167
Q9NRP2	0.167
O43677	0.167
P61568	0.167
P59796	0.167
Q9H0A8	0.167
P46779	0.167
Q9UKK6	0.167
P09237	0.167
Q9BXI2	0.167
A0A0A6YYK7	0.167
Q9Y5P6	0.167
Q92186	0.167
P10155	0.167
Q96BY2	0.168
Q8TAC1	0.168
Q9BYW3	0.168
Q9Y284	0.168
Q9BY41	0.168
Q4LDG9	0.168
Q6IE38	0.168
Q6PDA7	0.168
P61952	0.168
A6NH57	0.168
A0A1B0GUW7	0.168
Q68G75	0.168
Q8NCQ3	0.168
Q9H5J4	0.168
Q9UHD0	0.168
P81277	0.168
Q9UHK6	0.168
Q9P0I2	0.168
Q4G0N0	0.168
O43772	0.168
P59037	0.168
Q92737	0.168
P20815	0.168
P10092	0.168
P01733	0.169
Q9BY71	0.169
P01138	0.169
A2RUT3	0.169
Q8IUB3	0.169
Q9NPH6	0.169
P06310	0.169
A0A1W2PRS3	0.169
Q9H1F0	0.169
O60925	0.169
Q8NCU8	0.169
Q8NI37	0.169
Q8N100	0.169
Q5BVD1	0.169
Q8TBR4	0.169
P08559	0.169
Q9NQ34	0.169
A0A0C4DH35	0.169
Q14749	0.169
Q9H936	0.169
A0A0B4J238	0.169
A8MV57	0.169
Q5VT66	0.169
A0A0C4DH43	0.169
P00966	0.17
A0A075B6S6	0.17
Q5JTJ3	0.17
P51124	0.17
Q9P0J6	0.17
P0C8F1	0.17
Q86UB9	0.17
Q9BTP7	0.17
Q52LC2	0.17
P06331	0.17
O95971	0.17
P24666	0.17
Q8WWZ1	0.17
Q9H9B4	0.17
Q8WWF1	0.17
Q5VUY2	0.17
P15259	0.17
P62899	0.17
A0A075B6S2	0.17
P04083	0.17
Q8N6M5	0.17
P08754	0.171
Q8WV74	0.171
Q9BUR5	0.171
Q9BYD5	0.171
A0A1W2PQJ5	0.171
Q16854	0.171
Q8NB37	0.171
P08684	0.171
Q765I0	0.171
A0A5B7	0.171
Q99735	0.171
P11309	0.171
P06132	0.171
O60888	0.171
Q8TD46	0.171
P05543	0.171
Q11201	0.171
Q9HD89	0.171
Q9H845	0.171
Q96EM0	0.171
Q9UJ71	0.171
Q5JWF8	0.171
Q9Y274	0.172
P35243	0.172
P63173	0.172
A0A075B6R9	0.172
A0A0J9YXY3	0.172
O15120	0.172
P41222	0.172
P35237	0.172
P19105	0.172
O95626	0.172
P0DPF7	0.172
O75503	0.172
A0A075B6K6	0.172
P33681	0.172
Q9P1U1	0.172
P38117	0.172
P07316	0.172
Q495Y7	0.172
Q7Z5W3	0.172
Q6P2H8	0.172
A0A577	0.172
P0C7M6	0.172
Q9NX18	0.172
Q96SL4	0.172
P01814	0.172
P55083	0.172
P51571	0.172
Q9BSG0	0.172
Q8N8Q3	0.172
Q5GAN3	0.172
Q13503	0.173
Q96FH0	0.173
P51959	0.173
Q8WXK4	0.173
Q9P2X8	0.173
Q9BQE5	0.173
Q5EG05	0.173
P13598	0.173
Q8NEJ0	0.173
A6NDG6	0.173
Q16795	0.173
Q96HA9	0.173
Q562R1	0.173
P21549	0.173
P01567	0.173
Q6BCY4	0.173
Q86TW2	0.174
Q8N4P3	0.174
A0A1B0GVZ2	0.174
P0C7T8	0.174
Q8IY31	0.174
Q5EE01	0.174
Q15053	0.174
Q96PL2	0.174
P01571	0.174
P58549	0.174
Q9HBI0	0.174
Q9BYC2	0.174
Q8IXQ9	0.174
Q8N9L7	0.174
A0A1B0GVK7	0.174
P79483	0.174
Q9NRP4	0.174
Q9NP95	0.174
P30154	0.174
Q8N4K4	0.174
Q9HCC0	0.174
P09758	0.174
Q5T9G4	0.174
P62879	0.174
Q8NAE3	0.174
A6XGL0	0.175
Q16595	0.175
Q9NRZ7	0.175
P30405	0.175
Q5VWZ2	0.175
Q4G0F5	0.175
A5PLL7	0.175
Q9Y376	0.175
Q9Y680	0.175
A6NGG3	0.175
Q9H777	0.175
Q63HM1	0.175
A0A2R8YFL7	0.175
Q96H35	0.175
Q9NX38	0.175
A0A0B4J2B5	0.175
Q8WV60	0.175
Q5BJH2	0.175
Q92604	0.175
Q9HA72	0.175
A0A075B6H8	0.175
P11844	0.175
P53778	0.175
Q9UMS0	0.175
Q01362	0.175
Q969H8	0.175
P01222	0.175
Q6P4A7	0.175
Q9UHF3	0.175
Q9UI14	0.175
Q96MZ0	0.175
Q8IZI9	0.176
Q96LJ7	0.176
P01593	0.176
O15182	0.176
P01594	0.176
Q5I0G3	0.176
Q8NC69	0.176
Q3KNT9	0.176
Q6UX46	0.176
A2RU37	0.176
A6NNL5	0.176
Q96EC8	0.176
A0A0B4J1V0	0.176
P10966	0.176
P50452	0.176
Q9BUJ0	0.176
P28332	0.176
P0C0S5	0.177
Q96M98	0.177
Q02543	0.177
Q96GX9	0.177
Q5TEU4	0.177
Q5W186	0.177
Q9NPL8	0.177
P14324	0.177
Q8N7C7	0.177
Q14032	0.177
O60613	0.177
Q5GAN4	0.177
Q8TDY3	0.177
O75915	0.177
Q9UHE5	0.177
Q6NVY1	0.177
A0A0A6YYC5	0.177
Q6V702	0.177
D3DTV9	0.177
P36954	0.177
Q15040	0.177
P60002	0.177
Q86WQ0	0.177
Q9UI43	0.177
O43502	0.177
Q8WVD5	0.177
O75771	0.177
Q9NZH7	0.177
A2NJV5	0.177
Q9Y512	0.178
O43291	0.178
Q92843	0.178
Q8NES8	0.178
P05013	0.178
P07478	0.178
Q86W47	0.178
Q3I5F7	0.178
O43557	0.178
P01033	0.178
Q9UNN8	0.178
Q96BX8	0.178
Q6UXS0	0.178
Q6UW32	0.178
P0C7P2	0.178
P20848	0.178
Q4KMX7	0.178
Q71RC9	0.178
P0C2S0	0.178
Q8WTW4	0.178
P25791	0.178
Q9Y576	0.178
P01767	0.178
P48728	0.178
Q16798	0.178
Q8IWN6	0.179
A0A5B9	0.179
P00813	0.179
P55212	0.179
Q8N1A6	0.179
O43930	0.179
Q13825	0.179
Q9Y5Z6	0.179
Q9UM21	0.179
A0A494C103	0.179
Q96C36	0.179
Q96IZ2	0.179
Q13790	0.179
Q71UI9	0.179
Q6UXP9	0.179
P63267	0.179
Q969Z3	0.179
P26439	0.179
Q5T0J3	0.179
Q3SYC2	0.18
Q8IVW1	0.18
A6NLU0	0.18
P62736	0.18
Q0P140	0.18
O75347	0.18
P43490	0.18
Q7Z5A7	0.18
A0A075B6W5	0.18
Q9HBV1	0.18
Q6UW02	0.18
Q96B45	0.18
A0A1B0GU33	0.18
Q5T1C6	0.18
Q92730	0.18
Q9Y696	0.18
Q03013	0.18
Q96MF0	0.18
Q3KQZ1	0.18
Q9NS71	0.18
Q6ZVS7	0.18
Q9H114	0.18
P61647	0.18
Q9UJ90	0.18
Q9BXW3	0.18
Q5XLA6	0.18
H3BTG2	0.18
Q6UWN8	0.18
Q8IZT8	0.18
Q9H2F3	0.18
P56378	0.18
Q8WXK3	0.18
O95156	0.181
Q96IX5	0.181
Q9NZ01	0.181
Q9BV23	0.181
Q9Y2R9	0.181
P0DJ07	0.181
Q9NYN1	0.181
Q53FT3	0.181
Q96GA7	0.181
Q8N1E6	0.181
Q9NQX7	0.181
A6NL82	0.181
Q13145	0.181
P01850	0.181
P49675	0.181
C0HM01	0.181
Q4W4Y0	0.181
Q9UKT8	0.181
Q9BW30	0.181
Q96BW5	0.182
O95772	0.182
Q9Y258	0.182
P25189	0.182
P63104	0.182
P01225	0.182
P24844	0.182
Q53F39	0.182
A0A0C4DH26	0.182
Q9BXS1	0.182
Q14254	0.182
Q6GMR7	0.182
Q6UQ28	0.182
Q6PIL6	0.182
A0A0J9YVY3	0.182
P01308	0.182
Q70IA6	0.182
Q9Y2S2	0.182
O75600	0.182
Q9BR09	0.182
Q16585	0.182
Q8TC12	0.182
Q9H672	0.182
Q9UM00	0.182
A0A0B4J279	0.182
Q9NX08	0.183
P32322	0.183
P36952	0.183
Q8WXH6	0.183
Q8WTZ4	0.183
O15264	0.183
Q6YP21	0.183
P01911	0.183
Q14012	0.183
Q6UWM9	0.183
Q14002	0.183
Q56A73	0.183
A0A075B6S4	0.183
Q9NTQ9	0.183
Q8TD07	0.183
Q9NX46	0.183
O95865	0.183
Q14390	0.183
A0A1B0GX56	0.183
P18510	0.183
P19087	0.183
Q3ZAQ7	0.183
P52209	0.183
Q7RTV0	0.183
A6NJW9	0.183
P16219	0.183
Q14353	0.183
A8MQ11	0.183
A0A075B7E8	0.183
Q8WVK7	0.183
P36969	0.183
A0A1W2PP97	0.184
Q9NQP4	0.184
P34903	0.184
Q9NTK5	0.184
A0A075B6J6	0.184
A0A1B0GTU2	0.184
Q5SV17	0.184
P31941	0.184
P05000	0.184
A0A1W2PRE2	0.184
P05014	0.184
Q6J9G0	0.184
Q9BU02	0.184
A0A096LNP1	0.184
P45381	0.184
Q8IUB5	0.184
P11686	0.184
P41223	0.184
Q8IXB3	0.184
P0C7X4	0.184
Q9NRZ5	0.184
Q02363	0.184
A0A075B6K0	0.184
P51164	0.184
Q96NB2	0.184
Q9NXC2	0.184
Q96A26	0.184
Q9Y6Q5	0.184
Q9Y223	0.185
P53611	0.185
P20718	0.185
Q9NTU7	0.185
Q9BVV2	0.185
P11245	0.185
Q12829	0.185
O15235	0.185
Q0VDI3	0.185
Q8IW75	0.185
Q9UHT4	0.185
Q6AWC8	0.185
O00231	0.185
P01714	0.185
Q10981	0.185
P13762	0.185
Q9H0H9	0.185
Q5BN46	0.186
O75031	0.186
